0 1 2 3 + 4
0 1 2 3 + 5
0 1 2 3 + 6
0 1 2 3 + 7
0 1 2 3 + 8
0 1 2 3 + 9
0 1 2 3 + 10
0 1 2 3 + 11
0 1 2 3 + 12
0 1 2 3 + 13
0 1 2 3 + 14
0 1 2 3 + 15
0 1 2 4 + 3
0 1 2 4 + 5
0 1 2 4 + 6
0 1 2 4 + 7
0 1 2 4 + 8
0 1 2 4 + 9
0 1 2 4 + 10
0 1 2 4 + 11
0 1 2 4 + 12
0 1 2 4 + 13
0 1 2 4 + 14
0 1 2 4 + 15
0 1 3 4 + 2
0 1 3 4 + 5
0 1 3 4 + 6
0 1 3 4 + 7
0 1 3 4 + 8
0 1 3 4 + 9
0 1 3 4 + 10
0 1 3 4 + 11
0 1 3 4 + 12
0 1 3 4 + 13
0 1 3 4 + 14
0 1 3 4 + 15
0 2 3 4 + 1
0 2 3 4 + 5
0 2 3 4 + 6
0 2 3 4 + 7
0 2 3 4 + 8
0 2 3 4 + 9
0 2 3 4 + 10
0 2 3 4 + 11
0 2 3 4 + 12
0 2 3 4 + 13
0 2 3 4 + 14
0 2 3 4 + 15
0 1 2 5 + 3
0 1 2 5 + 4
0 1 2 5 + 6
0 1 2 5 + 7
0 1 2 5 + 8
0 1 2 5 + 9
0 1 2 5 + 10
0 1 2 5 + 11
0 1 2 5 + 12
0 1 2 5 + 13
0 1 2 5 + 14
0 1 2 5 + 15
0 1 3 5 + 2
0 1 3 5 + 4
0 1 3 5 + 6
0 1 3 5 + 7
0 1 3 5 + 8
0 1 3 5 + 9
0 1 3 5 + 10
0 1 3 5 + 11
0 1 3 5 + 12
0 1 3 5 + 13
0 1 3 5 + 14
0 1 3 5 + 15
1 2 3 5 + 0
1 2 3 5 + 4
1 2 3 5 + 6
1 2 3 5 + 7
1 2 3 5 + 8
1 2 3 5 + 9
1 2 3 5 + 10
1 2 3 5 + 11
1 2 3 5 + 12
1 2 3 5 + 13
1 2 3 5 + 14
1 2 3 5 + 15
0 1 4 5 + 2
0 1 4 5 + 3
0 1 4 5 + 6
0 1 4 5 + 7
0 1 4 5 + 8
0 1 4 5 + 9
0 1 4 5 + 10
0 1 4 5 + 11
0 1 4 5 + 12
0 1 4 5 + 13
0 1 4 5 + 14
0 1 4 5 + 15
0 1 2 6 + 3
0 1 2 6 + 4
0 1 2 6 + 5
0 1 2 6 + 7
0 1 2 6 + 8
0 1 2 6 + 9
0 1 2 6 + 10
0 1 2 6 + 11
0 1 2 6 + 12
0 1 2 6 + 13
0 1 2 6 + 14
0 1 2 6 + 15
0 2 3 6 + 1
0 2 3 6 + 4
0 2 3 6 + 5
0 2 3 6 + 7
0 2 3 6 + 8
0 2 3 6 + 9
0 2 3 6 + 10
0 2 3 6 + 11
0 2 3 6 + 12
0 2 3 6 + 13
0 2 3 6 + 14
0 2 3 6 + 15
1 2 3 6 + 0
1 2 3 6 + 4
1 2 3 6 + 5
1 2 3 6 + 7
1 2 3 6 + 8
1 2 3 6 + 9
1 2 3 6 + 10
1 2 3 6 + 11
1 2 3 6 + 12
1 2 3 6 + 13
1 2 3 6 + 14
1 2 3 6 + 15
0 2 4 6 + 1
0 2 4 6 + 3
0 2 4 6 + 5
0 2 4 6 + 7
0 2 4 6 + 8
0 2 4 6 + 9
0 2 4 6 + 10
0 2 4 6 + 11
